id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_index,cons_conf_index,lending_rate3m,nr_employed,subscribe
41,30,1,2,6,1,1,1,1,5,2,33,8.0,1020,0,0,-1.8,94.75,-48.14,1.32,5226.57,0.0
42,56,3,2,2,0,2,1,1,5,1,119,1.0,1045,0,0,1.1,93.71,-35.59,4.7,5320.77,0.0
43,30,6,1,5,1,2,1,0,7,1,193,1.0,953,0,0,-2.9,92.56,-33.86,1.01,4903.6,0.0
44,48,0,2,5,1,1,1,1,5,4,73,9.0,1034,0,0,1.1,98.03,-37.34,5.02,5102.75,0.0
45,57,1,2,6,0,0,0,1,5,1,4454,4.0,476,1,1,1.1,93.98,-47.55,2.28,4945.14,0.0
46,31,7,2,4,1,1,1,0,7,0,2814,3.0,160,5,2,1.4,95.02,-43.5,3.42,4873.89,0.0
47,35,7,1,4,1,1,1,0,7,1,186,0.0,1048,0,0,1.4,89.5,-42.65,5.01,5045.11,0.0
48,45,1,1,4,0,1,1,1,6,0,69,0.0,1015,0,0,1.4,92.38,-40.0,4.78,5405.85,0.0
49,37,7,2,4,0,1,1,0,7,2,81,2.0,999,0,0,1.4,94.57,-40.94,4.93,5045.11,0.0
50,54,1,2,3,0,2,1,0,7,4,570,0.0,973,0,0,1.4,89.78,-41.46,4.99,5034.66,0.0
51,46,9,2,5,1,2,1,0,11,2,1454,0.0,767,1,0,-0.1,95.4,-29.45,2.6,5058.19,0.0
52,25,1,2,3,1,2,2,1,5,1,274,1.0,975,0,0,1.1,97.56,-37.96,4.73,5216.95,0.0
53,29,6,2,2,0,1,2,0,9,3,353,5.0,951,0,0,1.1,92.86,-34.94,5.06,5263.67,1.0
54,45,1,3,2,1,0,0,1,6,3,569,9.0,1037,3,1,1.4,89.09,-41.84,3.4,4964.33,0.0
55,41,9,1,5,1,2,2,0,11,4,41,0.0,974,0,0,-0.1,93.47,-40.32,4.03,4982.77,0.0
56,43,1,2,1,0,2,1,1,5,2,4684,2.0,268,1,0,1.1,90.76,-36.42,3.27,5045.03,0.0
57,36,9,1,5,1,1,1,1,6,1,197,1.0,995,0,0,1.4,93.04,-43.38,5.15,5426.76,0.0
58,28,4,1,5,1,1,1,1,6,1,349,1.0,955,0,0,1.4,93.8,-42.42,4.65,5076.48,0.0
59,30,1,2,5,1,1,1,1,5,3,563,12.0,986,0,0,1.1,96.15,-37.49,4.9,4978.16,0.0
60,56,5,2,4,1,2,1,0,8,4,1705,9.0,528,5,2,1.4,95.71,-31.26,3.17,5266.82,0.0
61,32,6,2,5,1,1,1,0,5,4,738,1.0,966,1,1,-1.8,94.1,-47.77,1.3,5211.28,1.0
62,50,4,2,2,1,1,1,0,11,0,211,1.0,1027,1,1,-3.4,95.7,-29.85,0.69,4821.81,1.0
63,51,1,2,3,0,2,1,0,11,2,54,0.0,967,1,1,-0.1,94.03,-43.59,4.1,4961.98,0.0
64,48,9,3,6,1,2,1,0,7,0,261,2.0,15,1,2,-1.7,95.81,-39.13,0.89,5121.38,1.0
65,55,9,2,4,1,2,1,0,7,1,188,3.0,959,0,0,1.4,96.54,-40.73,4.77,5489.5,0.0
66,35,4,1,5,1,1,2,0,11,0,207,0.0,960,0,0,-0.1,94.5,-42.2,4.27,5071.1,0.0
67,38,9,1,5,1,2,2,0,6,3,1891,1.0,562,6,1,-1.7,96.36,-41.76,3.6,5158.59,0.0
68,72,8,1,4,1,2,0,0,6,1,359,8.0,1005,0,0,1.4,96.17,-43.46,4.81,5228.1,1.0
69,44,2,2,4,1,2,1,0,5,4,8,9.0,973,0,0,-1.8,91.4,-46.29,1.2,5017.51,0.0
70,31,9,2,6,1,1,1,1,6,2,697,0.0,288,3,1,1.4,89.98,-36.86,4.49,5228.48,0.0
71,54,7,2,4,0,2,1,0,7,0,35,23.0,955,0,0,1.4,90.34,-44.45,5.13,5066.02,0.0
72,38,1,1,3,1,2,1,1,5,4,1090,1.0,562,5,0,1.1,93.58,-35.22,1.18,4948.98,0.0
73,36,1,2,3,1,2,1,0,11,3,3669,3.0,617,5,1,-0.1,89.61,-44.4,1.33,4733.21,0.0
74,47,3,2,1,1,1,1,0,8,0,69,2.0,1047,0,0,1.4,91.85,-37.61,4.75,5400.62,0.0
75,40,0,2,4,1,1,2,1,5,0,16,0.0,1042,0,0,1.1,90.51,-37.52,4.79,5071.6,0.0
76,35,1,2,6,1,2,2,1,5,3,2875,1.0,303,2,2,1.1,94.65,-35.31,2.27,5177.42,0.0
77,31,0,1,5,1,2,1,0,4,3,3691,0.0,635,4,1,-1.8,93.28,-43.76,3.48,5101.74,0.0
78,61,4,2,5,1,1,1,0,8,4,3978,3.0,655,5,0,1.4,91.54,-29.75,4.31,5182.08,0.0
79,28,0,1,4,1,2,1,1,4,0,3979,2.0,710,1,0,-1.8,96.25,-43.29,3.89,4919.69,0.0
80,30,0,1,5,1,2,1,0,8,2,2627,1.0,488,6,1,1.4,94.09,-45.31,0.76,4979.47,0.0
81,36,4,2,5,1,1,2,0,5,1,244,1.0,1011,0,0,-1.8,94.65,-46.66,1.4,5185.78,0.0
82,31,1,2,4,1,1,1,0,4,0,197,0.0,1020,0,0,-1.8,93.54,-45.35,1.47,5267.37,0.0
83,41,9,2,5,0,1,1,1,5,2,1034,1.0,342,5,2,1.1,89.79,-47.29,4.81,5001.03,0.0
84,90,4,2,2,1,0,1,0,4,4,354,19.0,1033,0,0,1.4,91.85,-43.25,4.98,5018.97,0.0
85,35,0,2,4,1,2,2,0,4,4,340,0.0,1019,0,0,-1.8,95.49,-46.11,1.4,4992.01,0.0
86,40,9,1,6,1,2,1,0,11,2,186,0.0,1006,1,1,-0.1,95.71,-40.69,4.28,5320.49,0.0
87,27,9,1,5,1,1,1,0,8,2,99,1.0,996,0,0,1.4,92.5,-37.21,4.93,5060.8,0.0
88,39,7,2,4,1,2,2,0,5,1,205,0.0,1004,0,0,-1.8,95.12,-44.21,1.33,5195.98,0.0
89,48,10,2,1,0,2,1,0,4,4,71,0.0,994,0,0,-1.8,88.88,-47.99,1.38,5226.57,0.0
90,27,4,0,1,1,1,0,1,7,2,4439,4.0,609,3,1,-1.8,94.33,-47.93,0.95,5260.95,0.0
91,29,4,1,4,1,1,1,0,11,1,74,0.0,1008,0,0,-0.1,95.62,-42.75,4.06,5029.53,0.0
92,95,0,2,2,2,0,1,1,12,0,3238,23.0,838,1,2,-1.8,91.98,-39.67,1.69,5006.59,0.0
93,23,8,1,0,1,2,1,0,8,4,1422,1.0,113,1,2,-2.9,93.99,-38.01,2.52,4997.93,1.0
94,45,4,2,5,1,1,2,1,5,2,101,5.0,974,0,0,1.1,93.52,-36.76,4.66,5253.29,0.0
95,59,5,2,4,1,2,1,0,7,4,1514,16.0,1040,0,0,1.4,96.17,-40.86,5.06,5228.1,1.0
96,38,4,2,5,1,1,2,0,5,3,3596,1.0,762,2,1,-1.8,94.41,-39.19,2.67,4716.26,0.0
97,36,9,2,6,1,1,2,0,7,0,304,2.0,915,5,1,1.4,93.21,-50.37,4.25,4992.48,0.0
98,24,0,1,4,1,2,1,0,4,2,434,1.0,1016,0,0,-1.8,91.67,-45.31,1.34,5144.99,1.0
99,32,6,2,5,1,1,1,0,5,4,190,0.0,960,0,0,-1.8,97.53,-44.62,1.34,5144.99,0.0
100,86,10,1,7,1,1,2,1,7,1,113,11.0,970,0,0,1.4,91.38,-42.01,4.83,5311.74,1.0
101,53,1,2,4,1,1,1,1,6,0,4090,1.0,263,2,1,1.4,91.84,-30.66,3.32,4985.58,0.0
102,28,7,1,4,1,2,2,1,5,1,192,1.0,866,5,2,1.1,90.26,-37.44,4.93,4753.54,0.0
103,32,0,2,5,1,1,1,0,5,3,358,2.0,1009,0,0,-1.8,89.54,-47.03,1.25,5139.89,0.0
104,98,5,1,1,1,0,2,0,12,1,61,23.0,1008,0,0,-0.1,89.19,-42.92,4.02,5252.95,0.0
105,24,9,1,5,1,1,1,0,7,4,2012,2.0,109,6,1,-1.7,93.42,-51.83,0.65,4796.11,0.0
106,95,0,1,5,2,0,1,0,6,3,162,15.0,1039,0,0,-1.8,92.42,-48.51,1.32,5333.65,1.0
107,69,3,0,3,0,0,2,1,4,2,4187,12.0,575,2,2,1.4,96.74,-32.06,1.24,5194.27,0.0
108,44,10,2,1,1,2,2,1,6,4,243,1.0,857,3,2,1.4,97.43,-47.55,1.21,5045.53,0.0
109,45,1,3,2,0,1,1,0,4,2,3783,5.0,241,2,0,-1.8,97.89,-36.11,2.07,5267.08,0.0
110,41,9,2,6,1,1,1,0,8,1,180,1.0,1021,0,0,1.4,90.73,-36.06,5.1,5463.36,0.0
111,44,4,2,5,1,2,1,0,4,3,137,1.0,996,0,0,-1.8,94.28,-47.99,1.4,4997.11,0.0
112,37,0,1,5,1,2,1,0,7,3,430,6.0,510,1,2,1.4,92.19,-38.25,4.03,5401.55,0.0
113,28,1,2,3,0,1,1,1,6,4,335,1.0,1027,0,0,1.4,97.67,-43.47,4.97,5348.34,0.0
114,41,1,1,3,1,1,1,1,7,3,1164,3.0,931,6,2,1.4,94.06,-48.66,1.7,5145.38,0.0
115,30,0,1,4,1,2,1,0,8,1,195,1.0,1036,0,0,1.4,92.88,-35.73,4.8,5296.06,0.0
116,27,7,1,4,1,2,1,0,5,4,84,4.0,988,0,0,-1.8,97.35,-45.92,1.35,4976.72,0.0
117,37,1,2,2,0,1,1,0,7,1,62,3.0,968,0,0,1.4,90.25,-41.8,4.75,5437.22,0.0
118,39,1,2,2,0,0,0,1,6,0,137,2.0,1024,0,0,1.4,92.1,-42.13,4.98,5092.16,0.0
119,33,10,2,4,1,2,1,0,11,3,586,1.0,1046,0,0,-0.1,89.47,-39.98,4.16,5024.33,1.0
120,26,1,1,2,0,1,1,0,7,1,187,4.0,976,0,0,1.4,94.48,-44.45,4.88,5045.11,0.0
121,31,0,2,4,1,1,1,1,5,3,314,0.0,1004,0,0,1.1,95.68,-37.49,4.8,5414.21,0.0
122,33,1,1,3,0,1,1,0,5,0,127,3.0,969,0,0,-1.8,97.53,-43.98,1.26,5175.58,0.0
123,45,1,2,3,0,0,0,1,5,2,4523,0.0,647,0,1,1.1,92.5,-26.18,3.54,5073.26,0.0
124,36,0,2,5,1,2,1,1,5,0,239,2.0,1046,0,0,1.1,93.71,-37.12,4.67,5061.22,0.0
125,32,3,3,4,1,1,1,1,5,4,553,2.0,1027,0,0,1.1,92.58,-35.74,5.1,5351.92,1.0
126,50,4,2,5,1,2,1,0,11,1,111,1.0,980,0,0,-0.1,88.72,-43.34,4.17,5159.42,0.0
127,58,10,2,3,1,2,1,0,3,0,2513,1.0,911,3,1,-1.8,93.27,-30.09,2.81,4994.0,1.0
128,53,1,2,1,1,2,1,0,8,4,347,2.0,1024,0,0,1.4,94.84,-34.98,4.78,5254.24,0.0
129,34,7,2,4,1,1,2,1,5,4,627,1.0,964,0,0,1.1,89.29,-35.74,4.88,5066.41,0.0
130,35,0,1,5,1,2,1,0,5,0,72,0.0,1045,1,1,-1.8,95.02,-45.13,1.31,5012.41,0.0
131,52,0,3,4,1,2,1,0,7,4,94,3.0,1047,0,0,1.4,91.94,-41.58,4.96,5228.1,0.0
132,31,7,2,4,1,1,1,0,11,2,381,2.0,216,4,1,-0.1,94.87,-36.62,3.5,5202.25,0.0
133,37,1,2,3,0,1,1,1,6,1,1317,0.0,281,0,0,1.4,93.27,-30.8,2.98,5135.55,0.0
134,34,9,2,4,1,1,1,1,7,3,109,5.0,1031,0,0,1.4,91.19,-44.53,4.84,5102.62,0.0
135,27,7,1,4,1,2,1,0,5,0,2449,8.0,825,3,0,-1.8,96.72,-36.92,4.17,5157.84,0.0
136,28,1,1,4,1,2,1,0,5,2,4059,0.0,725,3,1,-1.8,94.83,-37.25,4.02,4953.12,1.0
137,36,7,2,4,1,2,1,0,5,4,79,2.0,1011,1,1,-1.8,92.14,-44.67,1.22,5318.36,0.0
138,34,9,1,6,0,2,1,0,7,3,109,5.0,1026,0,0,1.4,97.86,-42.74,5.02,5369.25,0.0
139,44,4,2,6,1,2,1,1,5,1,1372,0.0,767,6,1,1.1,91.47,-43.47,2.77,5093.09,0.0
140,29,0,1,4,1,1,2,0,7,0,4423,2.0,97,3,0,1.4,95.51,-34.35,3.69,5349.26,0.0
141,32,9,1,6,1,2,1,0,8,2,293,0.0,1032,0,0,1.4,90.36,-35.08,5.04,5452.9,0.0
142,39,1,2,3,1,2,1,0,7,2,216,8.0,997,0,0,1.4,93.91,-44.45,4.81,5280.38,0.0
143,48,9,2,6,1,1,1,0,8,2,490,1.0,1004,0,0,1.4,92.69,-36.71,5.2,5364.03,0.0
144,23,7,1,4,1,1,1,1,5,1,186,1.0,962,0,0,1.1,93.24,-35.89,4.9,5403.83,0.0
145,26,0,1,4,1,1,1,1,8,4,3966,1.0,1002,0,0,-1.7,91.01,-38.29,0.88,5056.49,0.0
146,44,0,2,3,1,2,1,0,5,0,173,1.0,586,5,1,-1.8,98.12,-52.13,1.3,5177.03,0.0
147,35,6,3,1,1,2,1,1,6,3,797,0.0,180,0,0,1.4,90.16,-29.33,4.95,5136.31,0.0
148,36,0,1,5,1,1,1,0,8,0,98,2.0,1010,0,0,1.4,94.37,-34.9,4.99,4982.37,0.0
149,47,7,2,4,1,1,1,0,11,1,3102,1.0,237,5,1,-0.1,97.31,-31.09,0.74,5001.66,0.0
150,28,1,1,2,1,1,1,0,7,4,231,0.0,153,6,2,1.4,98.44,-39.93,2.42,4986.5,0.0
151,34,1,2,3,1,2,1,0,7,2,1075,3.0,788,5,0,1.4,96.55,-47.63,4.33,5120.81,0.0
152,27,0,2,4,1,2,1,1,5,1,1618,1.0,158,2,1,1.1,89.6,-48.46,3.66,5274.27,0.0
153,32,0,1,5,1,2,1,0,4,3,84,1.0,1015,0,0,-1.8,95.49,-46.53,1.35,4961.42,0.0
154,58,0,3,4,0,1,1,0,5,4,316,3.0,973,1,1,-1.8,94.37,-44.21,1.23,4879.83,0.0
155,57,5,2,5,0,2,1,0,8,0,169,0.0,978,0,0,1.4,89.23,-35.37,4.75,5055.57,0.0
156,36,9,1,5,1,2,1,0,5,1,445,2.0,983,0,0,-1.8,95.12,-43.89,1.32,5012.41,0.0
157,20,8,1,4,1,2,1,0,10,4,153,1.0,988,0,0,-3.4,91.96,-26.65,0.7,4766.62,1.0
158,40,2,2,4,1,2,1,1,6,3,1754,0.0,591,1,0,1.4,93.89,-46.93,3.97,5429.84,0.0
159,31,1,2,3,1,1,1,1,6,4,192,11.0,1003,0,0,1.4,93.99,-43.34,4.85,5086.94,0.0
160,36,0,2,5,1,2,1,1,6,4,11,2.0,1021,0,0,1.4,96.44,-40.83,4.97,5201.95,0.0
161,57,2,2,1,1,1,1,0,11,0,107,2.0,1046,0,0,-0.1,89.84,-40.61,4.25,5195.8,0.0
162,28,0,1,4,1,2,2,1,6,3,14,10.0,960,0,0,1.4,98.52,-43.38,4.91,5452.9,0.0
163,36,0,2,6,1,2,2,0,8,4,147,4.0,962,0,0,1.4,95.59,-37.0,4.95,5353.57,0.0
164,35,9,1,4,1,2,1,0,4,3,44,1.0,1002,0,0,-1.8,88.79,-48.84,1.39,5201.08,0.0
165,29,9,1,4,1,2,1,1,5,2,2079,4.0,91,0,1,-1.8,97.52,-33.39,4.49,4980.37,0.0
166,44,1,2,1,0,2,2,1,5,4,309,1.0,1005,0,0,1.1,90.14,-36.14,4.8,5362.3,0.0
167,81,8,2,6,1,1,1,0,11,0,554,2.0,983,0,0,1.4,90.34,-43.72,5.11,5018.97,0.0
168,34,0,1,5,1,2,1,0,8,3,1064,1.0,510,6,1,-2.9,92.66,-49.4,4.47,4789.58,0.0
169,35,0,1,5,1,1,1,0,8,4,119,1.0,959,0,0,1.4,90.36,-34.33,5.18,5243.78,0.0
170,36,7,2,4,0,2,1,0,5,2,393,1.0,1007,1,1,-1.8,92.33,-48.14,1.26,5037.91,0.0
171,28,0,2,0,1,1,1,0,7,0,213,6.0,1026,0,0,1.4,90.91,-40.99,4.93,5113.08,0.0
172,37,6,2,3,0,1,1,1,5,0,228,0.0,969,0,0,1.1,91.55,-36.61,4.74,5035.26,0.0
173,46,7,1,3,1,2,1,0,4,0,16,5.0,954,0,0,-1.8,94.37,-47.14,1.46,5109.29,0.0
174,63,9,2,0,1,1,1,0,3,0,99,2.0,2,2,2,-1.8,97.75,-33.44,0.66,4993.67,1.0
175,39,1,2,1,1,1,1,1,6,1,5007,5.0,115,1,0,1.4,93.96,-36.11,1.81,4815.94,0.0
176,37,9,2,6,0,2,1,0,8,4,4286,7.0,346,3,2,1.4,97.77,-33.86,0.92,5193.31,0.0
177,31,0,1,4,1,1,1,0,6,4,3059,2.0,988,6,2,-2.9,98.68,-32.5,2.33,4852.08,0.0
178,52,0,2,4,1,1,1,0,5,1,3856,3.0,511,5,0,-1.8,91.19,-31.29,4.46,5084.2,0.0
179,40,1,1,3,1,1,1,1,5,1,4910,3.0,889,6,1,1.1,91.16,-46.14,2.02,4915.57,1.0
180,46,9,2,5,0,2,1,0,8,0,2208,0.0,90,5,1,1.4,95.52,-42.49,1.96,5272.25,0.0
181,51,4,3,4,1,0,0,1,5,0,1251,3.0,552,0,0,1.1,94.46,-30.48,3.63,5170.52,0.0
182,48,7,2,4,1,1,2,1,5,1,144,1.0,1003,0,0,1.1,92.77,-37.81,4.72,5196.19,0.0
183,59,6,2,5,0,0,0,1,7,0,676,1.0,951,0,0,1.4,91.66,-41.46,4.75,5086.94,0.0
184,39,0,2,5,1,2,1,0,5,0,170,2.0,956,0,0,-1.8,95.67,-47.72,1.29,4946.12,0.0
185,41,2,2,3,1,2,1,0,4,4,1916,1.0,177,6,0,-1.8,97.5,-48.92,1.96,5093.12,0.0
186,38,7,3,4,1,2,1,0,4,2,1317,1.0,593,6,2,-1.8,92.11,-41.0,2.23,5055.59,0.0
187,49,1,2,2,0,2,2,1,5,2,210,2.0,964,0,0,1.1,95.59,-37.71,4.62,5300.01,0.0
188,33,8,1,5,1,1,1,0,8,3,886,0.0,293,4,0,1.4,94.2,-43.83,3.19,5155.9,0.0
189,24,1,2,3,1,1,1,1,7,0,174,0.0,1007,0,0,1.4,98.61,-44.45,5.19,5405.85,0.0
190,48,9,2,5,1,2,1,0,8,2,566,1.0,999,0,0,1.4,91.48,-36.38,4.89,5364.03,0.0
191,42,9,1,6,1,2,1,1,5,4,4532,1.0,171,3,0,1.1,95.63,-40.56,4.72,4906.92,0.0
192,56,3,2,1,1,1,1,0,7,2,189,1.0,971,0,0,1.4,97.95,-42.78,5.11,5264.69,0.0
193,41,4,2,3,1,1,1,1,7,3,91,1.0,966,0,0,1.4,94.1,-42.61,5.14,5259.46,0.0
194,31,0,1,5,1,2,1,1,6,3,327,0.0,995,0,0,-1.7,93.86,-41.79,0.72,5071.46,0.0
195,57,9,2,6,1,2,1,1,5,4,1442,1.0,1036,0,0,1.1,95.21,-37.78,4.75,5320.77,0.0
196,59,11,2,0,2,1,1,0,10,2,3570,22.0,452,1,2,1.4,97.63,-29.51,0.66,5125.84,1.0
197,45,0,2,5,1,1,1,0,7,1,2516,2.0,687,6,0,1.4,90.0,-28.42,3.23,5126.34,0.0
198,28,0,1,4,1,1,1,0,7,1,2504,2.0,998,6,1,1.4,94.36,-44.31,4.73,5428.58,1.0
199,32,9,2,6,1,1,1,1,5,4,197,1.0,954,0,0,1.1,90.32,-38.0,4.71,5300.01,0.0
200,50,3,3,1,1,1,1,1,6,2,1266,0.0,918,1,1,1.4,92.71,-27.5,1.92,4865.43,0.0
201,28,1,1,3,1,1,1,0,11,2,164,0.0,992,0,0,-0.1,97.02,-40.11,4.31,5045.12,0.0
202,34,9,2,4,1,1,1,1,5,0,225,0.0,1030,0,0,1.1,97.56,-36.07,5.03,5377.87,0.0
203,30,0,2,5,1,1,1,0,6,1,1165,0.0,541,4,1,-2.9,98.03,-34.87,3.06,5317.0,1.0
204,37,9,2,6,1,2,1,1,5,1,891,2.0,676,4,1,1.1,88.82,-42.65,2.15,4740.66,0.0
205,39,9,1,6,1,1,1,1,5,4,3010,4.0,554,2,0,1.1,94.44,-36.68,1.16,5170.87,1.0
206,31,0,1,5,1,2,2,0,8,3,1481,2.0,1021,0,0,1.4,96.99,-35.66,4.85,5306.52,0.0
207,45,2,2,5,1,2,1,0,11,4,1960,3.0,783,4,1,-0.1,94.64,-28.2,3.33,4881.49,0.0
208,33,0,1,5,1,1,1,0,6,4,323,0.0,971,4,2,-2.9,90.57,-34.29,2.11,4951.84,1.0
209,39,3,2,1,1,2,1,0,8,0,433,0.0,1038,0,0,1.4,90.17,-37.14,4.86,5411.08,0.0
210,39,10,1,1,1,1,1,0,6,1,449,2.0,1006,0,0,-2.9,92.49,-41.77,1.22,4868.07,0.0
211,45,0,3,5,1,1,2,0,5,0,63,0.0,986,0,0,-1.8,93.91,-46.01,1.24,5354.05,0.0
212,31,0,1,6,1,2,1,0,7,2,74,1.0,1016,0,0,-2.9,93.85,-32.42,1.01,4868.07,0.0
213,25,2,3,0,1,0,0,0,3,4,2831,18.0,442,4,2,1.4,91.57,-47.73,3.88,5143.1,0.0
214,45,9,1,6,0,1,1,1,6,1,763,1.0,760,4,0,1.4,92.07,-43.49,1.49,4998.47,0.0
215,36,1,2,2,1,1,1,0,5,4,79,1.0,960,1,1,-1.8,95.3,-45.64,1.31,4941.02,0.0
216,23,7,1,0,1,2,1,0,3,1,728,12.0,339,2,0,-1.8,91.88,-44.57,2.84,4845.6,1.0
217,23,8,1,0,1,2,1,0,9,2,710,2.0,856,6,1,-1.1,91.51,-48.36,4.59,5121.26,0.0
218,28,1,2,3,1,1,1,1,6,1,3817,1.0,611,5,1,1.4,94.13,-49.78,2.75,5281.35,0.0
219,27,1,2,3,1,1,1,1,6,1,124,1.0,1003,0,0,1.4,94.18,-41.54,4.76,5259.46,0.0
220,37,7,2,4,0,2,1,1,5,2,1635,2.0,429,4,0,1.1,89.4,-26.79,2.49,4862.79,0.0
221,23,10,3,7,0,0,2,1,5,1,4537,23.0,6,6,2,-2.9,97.18,-32.84,0.88,5384.01,1.0
222,27,9,1,5,1,2,1,0,7,2,572,1.0,974,0,0,1.4,91.85,-42.87,5.21,5243.78,0.0
223,40,6,3,5,1,1,1,0,5,0,145,0.0,1039,0,0,-1.8,97.44,-46.47,1.26,5236.77,0.0
224,32,6,3,6,1,2,1,1,6,0,123,1.0,958,0,0,1.4,93.61,-41.08,4.97,5296.06,0.0
225,51,0,3,5,0,2,2,0,8,4,539,4.0,988,0,0,1.4,96.24,-35.95,4.77,4987.6,0.0
226,39,0,2,5,1,2,2,1,6,1,77,0.0,967,0,0,1.4,98.52,-42.0,5.16,5107.85,0.0
